Job,Company,Job_Type,Minimum_Experience,Posted_Date,Month,Year,Location,Degree,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10,Tag11,Tag12,Tag13,Tag14,Tag15,Tag16,Tag17,Tag18,Language1,Language2,Language3,Language4,Language5,Language6,Language7,Language8,Language9,numTags,NumLag
HR Subject Matter Expert Workday,Philips Lighting,Full time Position,3 - 5 Years,16/08/2016,Aug,2016, Noord Brabant, Master,Human Resources,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Marketing communications (Thought Leadership),Philips Lighting,Internship / Part Time,Entry,16/08/2016,Aug,2016, Noord Brabant, Bachelor,Marketing and Sales,Business Admin and Others,Media,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,German,NA,NA,NA,NA,NA,NA,NA,3,2
Coastal Pipeline Engineer,Van Oord,Full time Position,1 - 3 Years,16/08/2016,Aug,2016, Groningen, Master,Civil/Petro/Offshore,Electrical,Mechanical and Aerospace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
MERCHANDISE CONTROL ANALYST,Tommy Hilfiger,Full time Position,1 - 3 Years,16/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Web Marketing Specialist (Brazilian Portuguese),Booking.com,Full time Position,1 - 3 Years,16/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,Media,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Global Procurement Analyst,JACOBS DOUWE EGBERTS,Full time Position,1 - 3 Years,16/08/2016,Aug,2016, Utrecht, Bachelor,Supply Chain and Procurement,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Lead Producer Performance,Helloprint,Full time Position,3 - 5 Years,16/08/2016,Aug,2016, Zuid Holland, Master,Finance and Economics,Supply Chain and Procurement,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Data Scientist,Optiver,Full time Position,1 - 3 Years,16/08/2016,Aug,2016, Noord Holland, PhD,Finance and Economics,IT and Computer Science,Physics and Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Business Intelligence Internship,Rabobank,Internship / Part Time,Entry,16/08/2016,Aug,2016, Noord Brabant, Bachelor,Finance and Economics,IT and Computer Science,Physics and Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Translator English to German/ French,Exact,Full time Position,1 - 3 Years,15/08/2016,Aug,2016, Zuid Holland, Bachelor,Business Admin and Others,IT and Computer Science,Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,French,German,NA,NA,NA,NA,NA,NA,3,3
Swift - Security Tools Developer,SWIFT,Full time Position,3 - 5 Years,15/08/2016,Aug,2016, Zuid Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
297-Machine Translation researcher,Infor,Full time Position,3 - 5 Years,15/08/2016,Aug,2016, Utrecht, Bachelor,IT and Computer Science,Other Science and Tech,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
International CRM Professional,Quintiq,Full time Position,3 - 5 Years,15/08/2016,Aug,2016, Noord Brabant, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Developing the use of satellite data for Operational Oceanography,Heerema Marine Contractors,Internship / Part Time,Entry,15/08/2016,Aug,2016, Zuid Holland, Master,Business Admin and Others,Civil/Petro/Offshore,Mechanical and Aerospace,Physics and Mathematics,Other Science and Tech,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,5,1
Internship Salt and Sugar reduction,KraftHeinz,Internship / Part Time,Entry,15/08/2016,Aug,2016, Noord Holland, Bachelor,Business Admin and Others,Chemical and Material,Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Fulltime internship: e-commerce and new business development,WebshopinChina.com,Internship / Part Time,Entry,15/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,English,NA,NA,NA,NA,NA,NA,NA,1,2
Campaign Developer,Oxyma,Full time Position,1 - 3 Years,14/08/2016,Aug,2016, Zuid Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Project Manager,Oxyma,Full time Position,1 - 3 Years,14/08/2016,Aug,2016, Zuid Holland, Bachelor,Marketing and Sales,Business Admin and Others,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Systems Engineer,Travix,Full time Position,1 - 3 Years,14/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,Mechanical and Aerospace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,German,NA,NA,NA,NA,NA,NA,NA,2,2
HR Manager,Mendix,Full time Position,3 - 5 Years,14/08/2016,Aug,2016, Zuid Holland, Bachelor,Human Resources,Business Admin and Others,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Senior Test Automotion Engineer,Philips Lighting,Full time Position,3 - 5 Years,14/08/2016,Aug,2016, Noord Brabant, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Revenue Accounting Analyst,Equinix,Full time Position,1 - 3 Years,14/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,French,German,NA,NA,NA,NA,NA,NA,2,3
Recovery Engineer-Source Upgrades,ASML,Full time Position,3 - 5 Years,14/08/2016,Aug,2016, Noord Brabant, Master,IT and Computer Science,Mechanical and Aerospace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Packaging Development internship,Danone,Internship / Part Time,Entry,14/08/2016,Aug,2016, Utrecht, Bachelor,Business Admin and Others,Other Science and Tech,Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
 Manager Contract & Trade Administration,Nidera ,Full time Position,1 - 3 Years,14/08/2016,Aug,2016, Zuid Holland, Bachelor,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Maintenance Business Manager,Infor,Full time Position,1 - 3 Years,14/08/2016,Aug,2016, Utrecht, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Technical writer,Quintiq,Full time Position,3 - 5 Years,14/08/2016,Aug,2016, Noord Brabant, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Inbound Sourcer,Uber,Full time Position,1 - 3 Years,14/08/2016,Aug,2016, Noord Holland, Bachelor,Human Resources,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Commercial Account Executive,Mendix,Full time Position,3 - 5 Years,14/08/2016,Aug,2016, Zuid Holland, Bachelor,Finance and Economics,Marketing and Sales,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Sr. Recruiter ?C Technology Graduates,Booking.com,Full time Position,3 - 5 Years,14/08/2016,Aug,2016, Noord Holland, Bachelor,Human Resources,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Translation and Proofreading (Temporary) ?C Canadian French,Booking.com,Full time Position,Entry,14/08/2016,Aug,2016, Noord Holland, Bachelor,Business Admin and Others,Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,French,NA,NA,NA,NA,NA,NA,NA,2,2
Language Specialist ?C Slovak,Booking.com,Full time Position,Entry,14/08/2016,Aug,2016, Noord Holland, Bachelor,Business Admin and Others,Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,Others,NA,NA,NA,NA,NA,NA,NA,2,2
Compensation Analyst,Booking.com,Full time Position,3 - 5 Years,14/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Human Resources,Business Admin and Others,Physics and Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,4,1
Internship: Learning analytics & Innovation,Philips Lighting,Internship / Part Time,Entry,13/08/2016,Aug,2016, Noord Brabant, Bachelor,Finance and Economics,Human Resources,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,4,1
Internship: Learning analtics & innovation,Philips Lighting,Internship / Part Time,Entry,13/08/2016,Aug,2016, Noord Brabant, Bachelor,Finance and Economics,Human Resources,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,4,1
Internship: Ecommerce,Philips Lighting,Internship / Part Time,Entry,13/08/2016,Aug,2016, Noord Brabant, Bachelor,Marketing and Sales,Business Admin and Others,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
IT Specialists,European Patent Office,Full time Position,1 - 3 Years,13/08/2016,Aug,2016, Zuid Holland, Master,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,French,German,NA,NA,NA,NA,NA,NA,1,3
Customer Operations Development Manager Nike,Nike,Full time Position,3 - 5 Years,13/08/2016,Aug,2016, Noord Holland, Bachelor,Supply Chain and Procurement,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,French,NA,NA,NA,NA,NA,NA,NA,2,2
HR Product Line Sales Manager EMEA,ServiceNow,Full time Position,1 - 3 Years,13/08/2016,Aug,2016, Noord Holland, Bachelor,Human Resources,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Interactive Designer,Adidas Group,Full time Position,3 - 5 Years,13/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,Creative and Design,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Software Engineer in Test,Irdeto,Full time Position,3 - 5 Years,13/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Finance App Looking For Senior iOS Engineer,Working Class Heroes,Full time Position,3 - 5 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Business Admin and Others,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
"Project Manager, Vehicle Delivery department",Tesla Motors,Full time Position,1 - 3 Years,13/08/2016,Aug,2016, Noord Brabant, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
ITDS Business Analyst,DHL,Full time Position,3 - 5 Years,13/08/2016,Aug,2016, Limburg, Bachelor,Finance and Economics,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,German,NA,NA,NA,NA,NA,NA,NA,2,2
Stylist Den Bosch (PT),Scotch & Soda,Full time Position,Entry,13/08/2016,Aug,2016, Zuid Holland, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Assistant Fashion Host Amsterdam Berenstraat,Scotch & Soda,Full time Position,1 - 3 Years,13/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
CUSTOMER CARE SUPERVISOR NL,Tommy Hilfiger,Full time Position,3 - 5 Years,13/08/2016,Aug,2016, Noord Holland, Bachelor,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Human Resources Business Partner,Canon,Full time Position,3 - 5 Years,13/08/2016,Aug,2016, Noord Holland, Bachelor,Human Resources,Legal,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Trading Performance Analyst,Optiver,Full time Position,1 - 3 Years,13/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Business Admin and Others,IT and Computer Science,Physics and Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,4,1
iOS Developer A.K.A. Jules Verne,Working Class Heroes,Full time Position,1 - 3 Years,12/08/2016,Aug,2016, Zuid Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
International Rockstar & iOS Developer,Working Class Heroes,Full time Position,1 - 3 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Mobile Consultant,Backbase,Full time Position,3 - 5 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,Creative and Design,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Head of Market Q&R - Benelux,Philips,Full time Position,3 - 5 Years,12/08/2016,Aug,2016, Noord Brabant, Bachelor,Finance and Economics,Business Admin and Others,Medical and Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
"SALES ASSOCIATE, MATERNITY COVER, AMSTERDAM",Burberry Limited,Full time Position,1 - 3 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Senior Game Designer,Vanguard Games,Full time Position,3 - 5 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,Other Science and Tech,Creative and Design,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
"Internship/thesis: Definition, setup+software implementation of qualification tasks that verify PDK",NXP Semiconductors,Internship / Part Time,Entry,12/08/2016,Aug,2016, Gelderland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Internship: Labview programming / modification automatic curve tracer software,NXP Semiconductors,Internship / Part Time,Entry,12/08/2016,Aug,2016, Gelderland, Bachelor,Electrical,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Internship: New soft/hardware is needed as replacement for an old ucontroller,NXP Semiconductors,Internship / Part Time,Entry,12/08/2016,Aug,2016, Gelderland, Bachelor,Electrical,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
GLOBAL LEAD VALUE ENGINEERING ?C INGREDIENT PROCUREMENT,KraftHeinz,Full time Position,3 - 5 Years,12/08/2016,Aug,2016, Utrecht, Bachelor,Marketing and Sales,Business Admin and Others,Chemical and Material,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Customer Advocate,Atlassian,Full time Position,1 - 3 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,Media,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Assistant Manpower Administrator,Octagon Professionals,Full time Position,3 - 5 Years,12/08/2016,Aug,2016, Zuid Holland, Bachelor,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Manager Customer Serivce Site eCommerce,Adidas Group,Full time Position,3 - 5 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,German,NA,NA,NA,NA,NA,NA,NA,2,2
Internship Performance Management Nike,Nike,Internship / Part Time,Entry,12/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
INTERSHIP DIGITAL SALES ANALYTICS NIKE,Nike,Internship / Part Time,Entry,12/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Internship Online Marketing & Community Management,StudyPortals ,Internship / Part Time,Entry,12/08/2016,Aug,2016, Noord Brabant, Bachelor,Marketing and Sales,Business Admin and Others,Physics and Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Five-Star Android Developer,Working Class Heroes,Full time Position,3 - 5 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Digital Organisation/Change Management Consultants,Atos,Full time Position,1 - 3 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,Business Admin and Others,Mechanical and Aerospace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,French,German,Spanish,NA,NA,NA,NA,NA,2,4
Recruiting Coordinator/Sourcer EMEA,Optimizely,Full time Position,1 - 3 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,Human Resources,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,French,German,NA,NA,NA,NA,NA,NA,2,3
Test & Verification Engineer,ENTER BV,Full time Position,1 - 3 Years,12/08/2016,Aug,2016, Zuid Holland, Bachelor,Electrical,Mechanical and Aerospace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
DSP / FPGA engineer,ENTER BV,Full time Position,3 - 5 Years,12/08/2016,Aug,2016, Zuid Holland, Bachelor,Electrical,IT and Computer Science,Mechanical and Aerospace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Compete Technical Solutions Professional EMEA,Microsoft,Full time Position,3 - 5 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Cloud Solution Architect - Dynamics Partner,Microsoft,Full time Position,1 - 3 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,Physics and Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Technology Solutions Professional,Microsoft,Full time Position,3 - 5 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Sales Support Germany,Scotch & Soda,Full time Position,1 - 3 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,Media,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,French,German,NA,NA,NA,NA,NA,NA,3,3
EDI Process Manager,Scotch & Soda,Full time Position,1 - 3 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Supply Chain and Procurement,Business Admin and Others,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,4,1
Global Product Manager,DSM,Full time Position,3 - 5 Years,12/08/2016,Aug,2016, Limburg, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Business Controller,DSM,Full time Position,3 - 5 Years,12/08/2016,Aug,2016, Zuid Holland, Bachelor,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Manager Product Marketing Food Processing & Packaging,GEA Group,Full time Position,1 - 3 Years,12/08/2016,Aug,2016, Noord Brabant, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,German,NA,NA,NA,NA,NA,NA,NA,2,2
HR Work student - 2/3 week assignment,Quintiq,Internship / Part Time,Entry,12/08/2016,Aug,2016, Zuid Holland, Bachelor,Finance and Economics,Human Resources,Legal,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,4,1
Test Engineer Motoren,Yacht,Full time Position,1 - 3 Years,12/08/2016,Aug,2016, Noord Brabant, Bachelor,Mechanical and Aerospace,Other Science and Tech,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,German,NA,NA,NA,NA,NA,NA,NA,2,2
Specialist Engine Testing,Yacht,Full time Position,3 - 5 Years,12/08/2016,Aug,2016, Noord Brabant, Master,Mechanical and Aerospace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,German,NA,NA,NA,NA,NA,NA,NA,1,2
"Afstudeeropdracht - HBO - ICT, Elektrotechniek. Wireless access to Sotas",Thales,Graduate Thesis,Entry,12/08/2016,Aug,2016, Noord Holland, Bachelor,Electrical,IT and Computer Science,Media,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Technical Marketeer,Catawiki,Full time Position,1 - 3 Years,12/08/2016,Aug,2016, Drenthe, Bachelor,Marketing and Sales,Business Admin and Others,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Web UI Developer,SDL,Full time Position,1 - 3 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Senior Java Developer,SDL,Full time Position,3 - 5 Years,12/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Client Manager Germany,Spotzer Media Group,Full time Position,1 - 3 Years,11/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,Media,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,German,Italian,NA,NA,NA,NA,NA,NA,3,3
